Time period,All employees,"Managers, directors & senior officials",Professional occupations,Associate professional & technical,Administrative & secretarial,Skilled trades,"Caring, leisure & other services",Sales & customer services,"Process, plant & machine operatives",Elementary occupations
Jul-Sep 2001,9,15,15,11,8,8,6,6,7,5
Oct-Dec 2001,9,15,15,11,8,8,6,6,7,5
Jan-Mar 2002,9,15,15,11,8,8,6,6,7,5
Apr-Jun 2002,9,15,15,11,8,8,6,6,7,5
Jul-Sep 2002,10,15,15,11,8,8,6,6,7,6
Oct-Dec 2002,10,15,15,12,8,8,6,6,7,6
Jan-Mar 2003,10,15,15,11,8,8,6,6,7,6
Apr-Jun 2003,10,15,16,12,8,8,6,6,7,6
Jul-Sep 2003,10,15,16,12,8,8,6,6,7,6
Oct-Dec 2003,10,15,16,12,8,8,6,6,7,6
Jan-Mar 2004,10,15,16,12,8,8,6,6,7,6
Apr-Jun 2004,10,16,16,12,8,9,7,6,8,6
Jul-Sep 2004,10,16,16,12,8,8,7,6,8,6
Oct-Dec 2004,10,16,16,12,8,9,7,6,8,6
Jan-Mar 2005,10,16,16,12,9,9,7,6,8,6
Apr-Jun 2005,11,17,17,12,9,9,7,6,8,6
Jul-Sep 2005,11,16,16,13,9,9,7,6,8,6
Oct-Dec 2005,11,17,17,13,9,9,7,6,8,6
Jan-Mar 2006,11,17,17,13,9,9,7,7,8,6
Apr-Jun 2006,11,17,17,13,9,9,7,6,8,6
Jul-Sep 2006,11,17,17,13,9,9,7,6,8,6
Oct-Dec 2006,11,17,17,13,9,9,7,6,8,7
Jan-Mar 2007,11,18,18,13,9,9,7,7,8,7
Apr-Jun 2007,11,17,18,13,9,9,7,7,9,7
Jul-Sep 2007,11,18,17,13,9,10,7,7,8,7
Oct-Dec 2007,12,18,18,13,9,10,8,7,9,7
Jan-Mar 2008,12,18,18,14,10,9,8,7,9,7
Apr-Jun 2008,12,18,18,14,9,9,8,7,9,7
Jul-Sep 2008,12,18,18,14,9,10,8,7,9,7
Oct-Dec 2008,12,18,19,14,10,10,8,7,9,7
Jan-Mar 2009,12,18,18,14,10,10,8,7,9,7
Apr-Jun 2009,12,19,19,14,10,10,8,7,9,7
Jul-Sep 2009,12,18,19,14,10,10,8,7,9,7
Oct-Dec 2009,12,19,19,14,10,10,8,7,9,7
Jan-Mar 2010,12,19,19,14,10,10,8,7,9,7
Apr-Jun 2010,13,19,19,15,10,10,8,7,9,7
Jul-Sep 2010,12,19,19,14,10,10,8,7,9,7
Oct-Dec 2010,13,19,19,15,10,10,8,7,9,7
Jan-Mar 2011,13,20,18,15,10,10,8,8,9,7
Apr-Jun 2011,13,19,19,15,10,10,8,7,9,7
Jul-Sep 2011,13,20,19,15,10,10,8,8,9,7
Oct-Dec 2011,13,19,19,15,10,10,8,8,9,7
Jan-Mar 2012,13,20,19,15,10,10,8,8,9,7
Apr-Jun 2012,13,19,19,15,11,10,8,8,9,7
Jul-Sep 2012,13,20,19,16,11,10,8,8,9,7
Oct-Dec 2012,13,20,19,16,11,10,8,8,9,7
Jan-Mar 2013,13,20,19,15,11,10,8,8,10,7
Apr-Jun 2013,13,20,19,16,11,10,8,8,10,8
Jul-Sep 2013,13,21,19,16,11,10,8,8,10,7
Oct-Dec 2013,13,20,19,16,11,10,8,8,10,7
Jan-Mar 2014,13,20,19,16,11,11,8,8,10,8
Apr-Jun 2014,13,21,19,16,11,10,8,8,10,8
Jul-Sep 2014,13,20,20,16,11,10,8,8,10,8
Oct-Dec 2014,13,21,19,16,11,11,8,8,10,8
Jan-Mar 2015,13,21,19,16,11,11,8,8,10,8
Apr-Jun 2015,13,21,20,16,11,11,8,8,10,8
Jul-Sep 2015,13,20,20,16,11,11,8,8,10,8
Oct-Dec 2015,13,21,20,16,11,11,9,8,10,8
Jan-Mar 2016,14,20,20,17,11,11,9,8,10,8
Apr-Jun 2016,14,22,20,16,11,11,9,8,10,8
Jul-Sep 2016,14,22,20,16,11,11,9,9,10,8
Oct-Dec 2016,14,21,20,16,11,11,9,9,10,8
Jan-Mar 2017,14,21,20,17,11,11,9,9,10,8
Apr-Jun 2017,14,23,20,17,11,11,9,9,10,8
Jul-Sep 2017,14,20,20,17,11,11,9,9,11,8
Oct-Dec 2017,14,21,20,17,12,12,9,9,11,8
Jan-Mar 2018,14,22,21,16,11,12,9,9,10,8
Apr-Jun 2018,15,22,21,18,12,12,9,9,11,8
Jul-Sep 2018,14,22,20,17,12,12,9,9,11,9
Oct-Dec 2018,15,23,21,17,12,12,9,10,11,8
Jan-Mar 2019,15,22,20,17,12,12,10,10,11,9
Apr-Jun 2019,15,23,21,17,12,12,9,10,11,9
Jul-Sep 2019,15,22,21,18,12,12,10,10,11,9
Oct-Dec 2019,15,23,21,18,12,12,9,10,12,9
Jan-Mar 2020,15,23,21,17,12,12,10,10,11,9
