caballus,horse
calvus,bald
calx,heel
calc-,pebble
camera,vault
camisia,shirt
campus,field
cancer,crab
candela,candle
canis,dog
caper,goat
capillus,hair
capsa,box
caput,head
carbo,coal
carcer,jail
cardo,hing
carduus,thistle
caries,decay
carina,keel
caro,flesh
carrus,wheeled
cartilago,cartilage
carus,dear
casa,house
caseus,cheese
castrum,fort
castus,pure
catena,chain
cauda,tail
caulis,salk
causa,motive
cavus,hollow
celeber,famous
celer,quick
centeni,hundred
centesimus,hundredth
centum,hundred
cera,wax
cerebrum,brain
certus,certain
cervix,neck
cervus,deer
ceterus,other
cibus,food
cicatrix,scar
cilium,eyelash
cinis,ashes
cippus,stake
circus,circle
cirrus,curl
citer,on this side
civis,citizen
clarus,clear
clavis,key
clemens,mild
collis,hill
collum,neck
color,color
colum,strainer
columba,dove
cor,heart
corbis,basket
corium,skin
cornu,horn
cornus,dogwood
corona,crown
corpus,body
cortex,bark
coruscus,vibrate
corvus,raven
costa,rib
cotoneum,quince
coxa,hip
crapula,inebriation
cras,tomorrow
crassus,thick
crena,notch
creta,chalk
cribrum,sieve
crimen,judgment
crinis,hair
crispus,curled
crista,crest
crus,leg
crusta,rind
crux,cross
cucullus,hood
cuculus,cuckoo
cucurbita,goourd
culcita,mattress
culex,gnat
culina,kitchen
culpa,blame
culter,knife
culus,buttocks
cumulus,heap
cunae,cradle
cuneus,wedge
cupa,tub
cura,care
currus,chariot
curtus,shortened
curvus,bent
cuspis,tip
custos,guardian
cutis,hide

