state,single,couple
alabama,2500,7500
alaska,,
arizona,5535,11059
arkansas,2200,4400
california,4401,8802
colorado,12200,24400
connecticut,,
delaware,3250,6500
florida,,
georgia,4600,6000
hawaii,2200,4400
idaho,12200,24400
illinois,,
indiana,,
iowa,2080,5120
kansas,3000,7500
kentucky,2590,5180
louisiana,,
maine,12200,24400
maryland,2300,4600
massachusetts,,
michigan,,
minnesota,,
mississippi,2300,4600
missouri,12200,24400
montana,4710,9420
nebraska,7050,14100
nevada,,
new hampshire,,
new jersey,,
new mexico,12200,24400
new york,8000,16050
north carolina,10000,20000
north dakota,,
ohio,,
oklahoma,6350,12700
oregon,2270,4545
pennsylvania,,
rhode island,8750,17500
south carolina,12200,24400
south dakota,,
tennessee,,
texas,,
utah,,
vermont,6100,12200
virginia,3000,6000
washington,,
west virginia,,
wisconsin,10860,20110
wyoming,,
