statename,country
Alabama,Mexico
Alaska,South Korea
Arizona,Mexico
Arkansas,China
California,China
Colorado,Canada
Connecticut,Canada
Delaware,Canada
District of Columbia,China
Florida,China
Georgia,China
Hawaii,Indonesia
Idaho,China
Illinois,China
Indiana,Ireland
Iowa,Canada
Kansas,China
Kentucky,China
Louisiana,Venezuela
Massachusetts,Canada
Maryland,United Kingdom
Maine,Canada
Michigan,Mexico
Minnesota,China
Missouri,China
Mississippi,China
Montana,Canada
North Carolina,China
North Dakota,Canada
Nebraska,China
New Hampshire,Canada
New Jersey,China
New Mexico,Mexico
Nevada,China
New York,China
Ohio,China
Oklahoma,Canada
Oregon,China
Pennsylvania,China
Puerto Rico,Ireland
Rhode Island,Mexico
South Carolina,China
South Dakota,Canada
Tennessee,China
Texas,Mexico
Utah,Mexico
Virginia,China
Virgin Islands,India
Vermont,Canada
Washington,China
Wisconsin,China
West Virginia,Canada
Wyoming,Canada

